1010,Energy
1510,Materials
2010,Capital Goods
2020,Commercial  & Professional Services
2030,Transportation
2510,Automobiles & Components
2520,Consumer Durables & Apparel
2530,Consumer Services
2550,Consumer Discretionary Distribution & Retail
3010,Consumer Staples Distribution & Retail
3020,"Food, Beverage & Tobacco"
3030,Household & Personal Products
3510,Health Care Equipment & Services
3520,"Pharmaceuticals, Biotechnology & Life Sciences"
4010,Banks
4020,Financial Services
4030,Insurance
4510,Software & Services
4520,Technology Hardware & Equipment
4530,Semiconductors & Semiconductor Equipment
5010,Telecommunication Services
5020,Media & Entertainment
5510,Utilities
6010,Equity Real Estate Investment Trusts
6020,Real Estate Management & Development
