Portfolio Code,Security Symbol,Security Type,From Date,Thru Date,Security Return,Beginning Market Value,Beginning Weight,Contribution,Ending Market Value,Gain/Loss,Income
ALPHA,AAPL,csus,2025-11-29,2025-12-31,-0.0221562488,177361.25,0.17736125,-0.003929659982,177361.25,-4004.95,0.0
ALPHA,AMZN,csus,2025-11-29,2025-12-31,0.0010442251,95764.79,0.09576479,9.9999997e-05,95764.79,0.0,100.0
ALPHA,AVGO,csus,2025-11-29,2025-12-31,0.0,88403.09,0.08840309,0.0,88403.09,0.0,0.0
ALPHA,CASHUSD,caus,2025-11-29,2025-12-31,0.0,16000.0,0.016,0.0,16000.0,0.0,0.0
ALPHA,CVNA,csus,2025-11-29,2025-12-31,0.0,1818.13,0.00181813,0.0,1818.13,0.0,0.0
ALPHA,GOOG,csus,2025-11-29,2025-12-31,0.0,67665.27,0.06766527,0.0,67665.27,0.0,0.0
ALPHA,GOOGL,csus,2025-11-29,2025-12-31,0.0,84265.7,0.0842657,0.0,84265.7,0.0,0.0
ALPHA,JPM,csus,2025-11-29,2025-12-31,0.0,38953.94,0.03895394,0.0,38953.94,0.0,0.0
ALPHA,36225MBS1,fius,2025-11-29,2025-12-31,0.00012,2000.0,0.002,2.4e-07,2000.24,0.24,0.0
ALPHA,META,csus,2025-11-29,2025-12-31,0.0,58325.78,0.05832578,0.0,58325.78,0.0,0.0
ALPHA,MSFT,csus,2025-11-29,2025-12-31,0.0,146809.23,0.14680923,0.0,146809.23,0.0,0.0
ALPHA,NVDA,csus,2025-11-29,2025-12-31,0.0,200632.82,0.20063282,0.0,200632.82,0.0,0.0
ALPHA,912797AA1,fius,2025-11-29,2025-12-31,0.0,10000.0,0.01,0.0,10000.0,0.0,0.0
ALPHA,91282Y2Y1,fius,2025-11-29,2025-12-31,6.5e-05,6000.0,0.006,3.9e-07,6000.39,0.39,0.0
ALPHA,91282Y5Y1,fius,2025-11-29,2025-12-31,9.5e-05,6000.0,0.006,5.7e-07,6000.57,0.57,0.0
ALPHA,AAPL,csus,2026-01-01,2026-01-30,-0.0449673407,177361.25,0.1773610372,-0.007975454187,173240.65,-8125.54,0.0
ALPHA,AMZN,csus,2026-01-01,2026-01-30,0.0377827801,95764.79,0.0957646751,0.003618255661,99283.05,3518.26,100.0
ALPHA,AVGO,csus,2026-01-01,2026-01-30,-0.0427623062,88403.09,0.0884029839,-0.003780315467,84622.77,-3780.32,0.0
ALPHA,CASHUSD,caus,2026-01-01,2026-01-30,-0.36905875,16000.0,0.0159999808,-0.005904932914,10095.06,-5904.94,0.0
ALPHA,CVNA,csus,2026-01-01,2026-01-30,-0.049545412,1818.13,0.0018181278,-9.0079891e-05,1728.05,-90.08,0.0
ALPHA,GOOG,csus,2026-01-01,2026-01-30,0.0788082276,67665.27,0.0676651888,0.0053325736,72997.85,5332.58,0.0
ALPHA,GOOGL,csus,2026-01-01,2026-01-30,0.0798722375,84265.7,0.0842655989,0.006730481928,90996.19,6730.49,0.0
ALPHA,JPM,csus,2026-01-01,2026-01-30,-0.0506795975,38953.94,0.0389538933,-0.001974167634,36979.77,-1974.17,0.0
ALPHA,36225MBS1,fius,2026-01-01,2026-01-30,0.0049344079,2000.24,0.0020002376,9.869988e-06,2010.11,9.87,0.0
ALPHA,META,csus,2026-01-01,2026-01-30,0.0854579227,58325.78,0.05832571,0.004984394017,63310.18,4984.4,0.0
ALPHA,MSFT,csus,2026-01-01,2026-01-30,-0.1102724944,146809.23,0.1468090538,-0.016189000563,130620.21,-16189.02,0.0
ALPHA,NVDA,csus,2026-01-01,2026-01-30,0.0248257488,200632.82,0.2006325792,0.004980854012,205613.68,4980.86,0.0
ALPHA,912797AA1,fius,2026-01-01,2026-01-30,0.002955,10000.0,0.009999988,2.9549965e-05,10029.55,29.55,0.0
ALPHA,91282Y2Y1,fius,2026-01-01,2026-01-30,0.0020531999,6000.39,0.0060003828,1.2319985e-05,6012.71,12.32,0.0
ALPHA,91282Y5Y1,fius,2026-01-01,2026-01-30,8.3325e-06,6000.57,0.0060005628,5e-08,6000.62,0.05,0.0
ALPHA,AAPL,csus,2026-01-31,2026-02-27,0.016784131,173240.65,0.1743669822,0.002926598271,180208.52,2962.91,0.0
ALPHA,AMZN,csus,2026-01-31,2026-02-27,-0.1214332154,99283.05,0.0999285434,-0.012134644335,87126.79,-12156.26,100.0
ALPHA,AVGO,csus,2026-01-31,2026-02-27,-0.0354663408,84622.77,0.0851729489,-0.003020772833,81621.51,-3001.26,0.0
ALPHA,CASHUSD,caus,2026-01-31,2026-02-27,-0.437140542,10095.06,0.0101606935,-0.004441651064,5682.1,-4412.96,0.0
ALPHA,CVNA,csus,2026-01-31,2026-02-27,-0.1669106797,1728.05,0.001739285,-0.000290305242,1439.62,-288.43,0.0
ALPHA,GOOG,csus,2026-01-31,2026-02-27,-0.0800520837,72997.85,0.073472449,-0.005881622637,67154.22,-5843.63,0.0
ALPHA,GOOGL,csus,2026-01-31,2026-02-27,-0.0776331405,90996.19,0.091587806,-0.007110249011,83931.87,-7064.32,0.0
ALPHA,JPM,csus,2026-01-31,2026-02-27,-0.0182745863,36979.77,0.0372201957,-0.000680183678,36303.98,-675.79,0.0
ALPHA,36225MBS1,fius,2026-01-31,2026-02-27,0.012750546,2010.11,0.0020231788,2.5796634e-05,2035.74,25.63,0.0
ALPHA,META,csus,2026-01-31,2026-02-27,-0.0953522798,63310.18,0.0637217941,-0.00607601834,57273.41,-6036.77,0.0
